BBL,Address,OwnerName,OwnerType,UnitsRes,ResArea,BldgClass,YearBuilt,YearAlter1,YearAlter2,Landmark,CondoNo
1004537501,311 EAST 11 STREET,UNAVAILABLE OWNER,,36,39174,R4,2008,2008,0,,2143
1004530001,174 2 AVENUE,174 SECOND EQUITIESCP,,13,9759,C7,1900,0,0,,
1004530002,176 2 AVENUE,174 SECOND EQUITIESCP,,8,6518,C7,1900,0,0,,
1004530004,180 2 AVENUE,AMBA 180 HOLDINGS LLC,,6,9236,S5,1910,2019,2019,,
1004530006,184 2 AVENUE,184 SECOND AVE CORP,,7,4066,C7,1900,2016,0,,
1004530007,186 2 AVENUE,O & T ASSOCS. LLC,,8,4713,C7,1900,1986,0,,
1004530008,188 2 AVENUE,188 2 EQUITIES CORP,,20,16082,C7,1920,1987,0,,
1004530010,302 EAST 12 STREET,"302 EAST 12TH STREET OWNER, LLC",,8,5546,C7,1900,2018,0,,
1004530011,304 EAST 12 STREET,"EVMF OWNER, LLC",,89,101800,D1,1940,1986,0,,
1004540001,192 2 AVENUE,L & S PROPERTIES 4 LLC,,21,11061,C7,1900,0,0,,
1004540004,198 2 AVENUE,200 2 AVE LLC,,33,20622,C7,1920,1986,0,,
1004540022,324 EAST 13 STREET,324-6 E 13 LLC,,22,10310,C1,1900,0,0,,
1004540023,326 EAST 13 STREET,324-6 E 13 LLC,,22,10310,C1,1900,0,0,,
1004540024,334 EAST 13 STREET,EASTVILLE REALTY LP,,34,17848,C7,1900,0,0,,
1004540027,338 EAST 13 STREET,338 EAST 13TH STREET LLC,,20,11035,C1,1900,1985,0,,
1004540031,342 EAST 13 STREET,"PERFECT 13 REALTY,",,22,11035,C1,1900,0,0,,
1004540032,346 EAST 13 STREET,DAVID 346 LLC,,24,16752,C1,1920,0,0,,
1004540034,350 EAST 13 STREET,350 EAST 13 REALTY ASSOCIATES LLC,,9,6590,C7,1900,1987,2016,,
1004540035,352 EAST 13 STREET,43 ORCHARD REALTY LLC,,8,7415,C7,1900,1989,0,,
1004540036,215 1 AVENUE,211-217 FIRST AVENUE LLC,,16,10840,C7,1900,1988,0,,
1004540038,213 1 AVENUE,211-217 FIRST AVENUE LLC,,8,8778,C7,1900,1988,0,,
1004540046,349 EAST 12 STREET,12TH & 1ST DE LLC,,6,4623,S9,1920,1988,0,,
1004540047,345 EAST 12 STREET,"339-347 EAST 12TH STREET INVESTOR, LLC",,37,17978,C7,1920,1986,0,,
1004540050,339 EAST 12 STREET,"339-347 EAST 12TH STREET INVESTOR, LLC",,37,21574,C1,1900,0,0,,
1004540056,329 EAST 12 STREET,EVP 329 EAST 12TH ST LLC,,24,13374,C1,1900,0,0,,
1004540057,327 EAST 12 STREET,EVP 327 EAST 12TH ST LLC,,22,10670,C7,1900,1987,0,,
1004540059,323 EAST 12 STREET,EVP 325 EAST 12TH ST LLC,,37,19428,C4,1900,1986,0,,
1004540029,340 EAST 13 STREET,UANNA LLC,,20,11035,C4,1900,0,0,,
1004550019,324 EAST 14 STREET,324 EAST 14TH STREET LLC,,15,6300,C1,1930,1987,0,,
1004550021,328 EAST 14 STREET,GOLDEN REALTY CO,,33,15322,C7,1900,0,0,,
1004550023,332 EAST 14 STREET,"332 EAST 14TH STREET, LLC",,8,3983,C7,1945,1988,0,,
1004550027,338 EAST 14 STREET,338 EAST 14 VENTURE LLC,,17,6426,C7,1920,0,0,,
1004550037,229 1 AVENUE,229 FIRST AVE LLC,,7,2805,C7,1900,2017,0,,
1004550042,219 1 AVENUE,219 FIRST AVENUE HOLDINGS LLC,,9,5445,C7,1910,2006,2012,,
1004550047,337 EAST 13 STREET,JLRE 13TH STREET LLC,,14,10730,C4,1910,0,0,,
1004550048,335 EAST 13 STREET,JLRE 13TH STREET LLC,,15,10730,C4,1910,0,0,,
1004550050,329 EAST 13 STREET,329 EAST 13 LLC,,24,18570,C1,1910,1985,0,,
1004550049,333 EAST 13 STREET,JLRE 13TH STREET LLC,,15,10730,C4,1910,0,0,,
1004670015,212 EAST 12 STREET,ONE-ARAB TRADE CENTER,,9,9025,C1,1900,0,0,,
1004670020,222 EAST 12 STREET,222 EAST 12 REALTY LLC,,18,5226,C5,1910,2015,0,,
1004670021,224 EAST 12 STREET,GATEWAYS ORGANIZATION INC.,X,6,7963,S5,1910,2008,2008,,
1004670022,226 EAST 12 STREET,226-230 EAST 12TH ST. OWNERS CORP.,,83,52055,D4,1928,1985,0,,
1004670025,232 EAST 12 STREET,"CAPRI APARTMENTS,",,68,62802,D6,1929,1985,0,,
1004670035,175 2 AVENUE,14 L. PIERRE ASSOCIATES,,56,41022,D6,1935,1984,0,,
1004670047,229 EAST 11 STREET,229 EAST 11TH LLC,,24,10749,C7,1900,0,0,,
1004670048,227 EAST 11 STREET,"THE LAKEVILLE ROAD GROUP, LLC",,19,5332,C1,1920,1985,0,,
1004670049,225 EAST 11 STREET,LOZYNSKYJ ASKOLD S,,7,1838,C5,1900,0,0,,
1004670050,223 EAST 11 STREET,221 EAST 11 STREET LLC,,20,7480,C5,1900,0,0,,
1004670055,213 EAST 11 STREET,TRES REALTY LLC,,20,10648,C1,1920,1988,0,,
1004670056,211 EAST 11 STREET,"211 EAST 11, LLC",,20,10648,C4,1900,1988,0,,
1004677501,235 EAST 11 STREET,235 EAST 11 STREET CONDO CORP,,9,5780,RM,1926,0,0,,47
1004680007,99 3 AVENUE,"99-105 THIRD AVENUEREALTY, LLC",,32,20500,C7,1920,2007,2006,,
1004680034,207 2 AVENUE,"EAST 117 STREET ASSOCIATES, LTD",,8,8115,C7,1900,1985,2008,,
1004687502,219 EAST 12 STREET,219 EAST 12 ST CONDO ASSOC #1FL,,6,8366,R1,1900,1988,0,,613
1004680001,87 3 AVENUE,"AMDAR COMPANY, LLC",,120,83804,D7,1930,1988,0,,
1004680004,93 3 AVENUE,FAMECO LLC,,24,19085,C7,1920,1988,0,,
1004680013,208 EAST 13 STREET,"208 E. 13TH STREET, LLC",,13,14022,D5,1930,0,0,,
1004680015,212 EAST 13 STREET,UNAVAILABLE OWNER,,23,14022,D4,1930,1984,0,,
1004680017,216 EAST 13 STREET,216 E 13TH ST OWNER LLC,,9,3416,C5,1910,1986,0,,
1004680021,224 EAST 13 STREET,PML INC,,27,14944,C7,1920,1985,0,,
1004680023,226 EAST 13 STREET,226 EAST 13 LLC,,28,13176,C4,1930,1988,0,,
1004680027,236 EAST 13 STREET,236-244 EAST 13TH OWNER LLC,,84,44511,C7,1900,1989,0,,
1004680035,205 2 AVENUE,PQ 2 REALTY,,19,10008,D1,1950,0,0,,
1004680037,201 2 AVENUE,201 SECOND PROPERTY OWNER LLC,,8,7475,C7,1920,1986,0,,
1004680044,235 EAST 12 STREET,235 E. 12 REALTY LLC,,20,8240,C1,1920,2001,0,,
1004680045,233 EAST 12 STREET,UNITED SQUARE LLC,,22,10746,C5,1930,1977,0,,
1004680046,229 EAST 12 STREET,229-231 EAST 12TH ASSOCIATES LLC,,35,26715,D9,1920,0,0,,
1004680049,225 EAST 12 STREET,EAST SIDE DEVMNT ASSOCS,,9,6000,C1,1925,1988,0,,
1004680051,221 EAST 12 STREET,"TWO TEN NET TEN,",,13,7530,C5,1920,1987,0,,
1004680053,217 EAST 12 STREET,217 ASSOCIATES,,9,4600,C5,1900,0,0,,
1004687501,193 2 AVENUE,193 SECOND AVE TENANTS CORPORATION,,16,21607,RM,1900,0,0,,203
1004697501,105 3 AVENUE,PEAR TREE PLACE CONDOMINIUM,,17,12312,RM,1920,1986,0,,390
1004697502,105 3 AVENUE,NAME NOT ON FILE,,155,113930,RM,1964,1987,0,,493
